Date,JP-MINA,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_DG_OFS_00033,KR_DG_ONS_00028,KR_IB_49,SG_DG_ONS_00055,TW1
2/2/2025 0:00,29411.51,617,997.85,297.28,3049.24,3091.14,2925.1,3117.06,2919.23,3891.59,577.53,1911.37,2871.14,2650.76,1105.35,0,2463.88,1763.85,10812,778.57,3480.33,1575.21,344.05,1908.69,168.58,14878.25128,786,30797.1,3188.85,1403.31,10871.2,160.53,342.69,3076.3,3031.08,928.83,1591.7,846.84,2798.17,139.95,2855.28,2924.86,312.28,315,308.54,310.14,308.06,153.96,0,0,349920,3678.93,71905
2/3/2025 0:00,36635.52,746,1061.66,346.58,3558.06,3066.65,2881.09,3257.79,2980.15,3706.41,647.1,2133.58,3391.6,3098.29,577.97,0,4837.72,1314.41,10431,811.58,4123.62,1768.36,413.43,1977.99,175.47,72024.08008,976,38430.6,3114.26,1750.67,10531.3,183.65,411.14,3320.81,2924.75,845.86,279.69,635.74,2978.25,146.41,2619.71,2681.61,358.56,359,278.68,275.39,274.96,168.85,0,0,323370,3874.72,41421
2/4/2025 0:00,16978.94,16,244.85,152.28,867.17,295.18,229.35,373.02,248.62,2532.01,158.04,102.57,124.97,320.19,11.53,0,5022.89,935.77,8272,84.24,4249.25,284.76,424.84,154.49,166.16,60461.39581,10,16830.1,302.95,240.01,8444,29.21,423.97,354.04,210.49,573.55,1002.62,0,475.78,13.61,2693.89,1367.4,96.24,108,79.38,84.56,90.04,19.69,0,0,184281,3290.61,60313
2/5/2025 0:00,1115.65,93,420.22,178.02,1567.2,252.94,184.14,445.95,206.63,2380.2,190.22,63.28,29.58,244.25,44.79,0,4591.77,942.84,10408,68.95,3847.31,1257.8,385.55,700.26,138.47,58347.81653,46,13885.6,301.1,165.7,10703.1,47.47,388.15,389.35,162.99,502.23,764.26,0,567.7,9.75,1405.61,1464.5,158.55,164,70.82,68.7,70.85,19.12,0,0,24748,1591.39,67822
2/6/2025 0:00,47749.47,439,619.36,349.45,2759.12,904.98,275.96,1237.66,328.48,1474.94,608.32,162.51,525.74,317.36,554.43,0,4673.3,811.11,7071,96.63,4124.37,1564.29,411.62,1601.5,180.17,81591.18408,473,29051.9,1013.35,224.19,7130.8,135.33,419.76,668.43,343.84,442.44,735.23,163.3,1734.67,18.26,2261.51,2416.8,359.69,365,205.05,200.31,207.89,51.43,0,0,202493,4087.61,97309
2/7/2025 0:00,24297.42,16,46.68,142.21,1821.35,331.66,233.44,401,232.63,1029.47,65.19,29.32,132.85,112.03,7.57,0,2294.34,656.48,31,75.8,621.46,37.9,64.72,660.3,75.78,76627.63367,14,3092.2,332.61,97.36,46,22.05,47.64,389.84,198.87,347.31,503.66,27.29,187.83,17.53,1415.82,818.65,118.69,103,118.06,115.48,119.58,17.31,0,0,131204,3228.79,62268
2/8/2025 0:00,77703.66,485,735.44,169.24,1266.54,622.07,306.79,856.38,315.71,1798.2,387.66,64.73,1564.33,363.23,19.07,0,5129.42,1084.82,1312,104.14,3521.74,195.59,394.19,1626.29,263.64,60664.59348,507,37072.9,647.32,286.61,1134,85.34,345.93,757.83,495.76,486.92,621.34,214.51,1540.36,25.71,2755.56,2678.43,159.09,162,126.95,117.64,137.26,31.99,0,0,112672,3394.49,44143
2/9/2025 0:00,83894.36,887,1536.36,413.59,2877.46,3138.57,1782.17,3298.63,1403.02,2904.59,850.86,751.66,4327.52,3400.9,496.94,0,5117.95,1174.36,4679,549.19,4327.1,1826.99,432.29,2755.41,229.57,78417.21533,1137,47288.8,3201.44,1090.6,7607.9,246.55,429.44,3995.01,2589.4,743.57,956.41,733.35,4576.02,51.61,3349.86,3450.17,462.38,465,296.72,283.2,294.68,149.44,0,0,245319,3349.46,64018
2/10/2025 0:00,37642.15,676,1374.53,428.47,4001.46,3456.03,3100.16,3480.06,2915.23,4135.6,614.94,1835.43,3956.68,3808.53,1074.03,0,3774.12,1391.67,8816,775.25,3185.52,1468.34,319.45,2337.98,216.4,88183.91748,865,36165.1,3590.44,1055.52,9068.5,172.37,326.84,3726.96,3298.15,851.38,1182.93,690.09,3795.16,75.88,3398.49,3528.33,462.94,465,326.54,327.09,326.18,181.28,0,0,374940,3127.71,113112
2/11/2025 0:00,75453.92,1168,1889.69,544.72,5023.96,5045.64,4619.59,5166.41,4764.87,5437.02,1056.75,3252.33,5156.9,4771.9,2017.63,0,4747.42,2559.88,12424,1305.32,4044.69,2441.54,406.95,3786.43,242.33,79487.60547,1505,52956.1,5232.84,2423.16,12467,286.15,404.19,5135.87,4774.46,1390.07,1754.98,1249.92,5400.68,158.89,4497.94,4673.05,542.11,545,472.84,465.19,465.47,267.62,0,0,509140,3396.74,98857
2/12/2025 0:00,11642.86,87,184.72,54.26,592.76,576.6,589.49,606.24,595.94,779.19,81.26,282.11,705.39,584.01,83.72,0,60.22,326.93,2256,172.54,192.74,81.64,19.53,192.07,29.9,109212.5083,104,3424.1,596.66,194,2322.2,33.88,17.65,647.66,585.37,213.4,295.99,72.45,545.19,34.38,411.83,415.16,58.65,59,82.48,81.87,81.94,30.12,0,0,104285,3532.12,22121
2/13/2025 0:00,78633.03,1254,2142.35,592.66,5297.78,5481.17,4960.64,5622.69,5154.19,5728.41,1128.18,3560.03,5619.99,5196.2,2104.27,0,5171.27,2413.64,13601,1414.3,4481.95,2693.05,449.4,4007.4,267.42,18775.41228,1654,57706.1,5685.07,2634.89,13658.8,310.23,446.43,5545.7,5135.94,1473.72,2021.78,1450.31,5935.24,222.16,4872.48,5044.89,581.47,585,497.18,495.35,498.49,291.36,0,0,537450,2676.48,17176
2/14/2025 0:00,79999.22,1129,1876.85,516.18,5041.77,4911.34,4500.85,5105.31,4701.63,3749.79,1034.24,3292.26,5080.8,4663.26,1987.39,0,4659.13,1984.99,11726,1324.36,4119.24,2536.91,410.89,3677.34,246.75,2309.576904,1467,53582.6,5033.78,2493.51,11935.9,287.98,408.25,5094.38,4622.55,977.74,1274.55,1300.76,5240.69,203.56,4396.22,4578.98,517.2,519,473.9,465.04,462.39,271.89,0,0,507850,3173.84,77381
2/15/2025 0:00,42160.64,164,239.48,92.22,847.93,943.73,940.93,975.16,959.97,465.48,177.27,645.86,1044.96,956.12,445.18,0,2506.32,144.95,6117,295.84,2582.6,429.29,261.3,376.19,53.98,116340.0366,205,8165.9,971.9,483.55,5408.6,61.78,258.07,971.7,956.88,60.34,96.14,209.45,917.69,53.82,887.15,880.1,102.88,103,80.17,78.98,81.29,56.61,0,0,81758,2803.08,91552
2/16/2025 0:00,52916.73,911,1569.51,434.06,4199.69,3833.59,3630.68,3961.89,3677.49,4747.37,762.78,2550.57,4064.05,3852.21,1188.49,0,4032.22,2145.14,7465,1090.69,3489.84,2197.35,350.5,3051.11,244.89,21982.58038,1199,47898.8,3912.48,2199.49,6654,231.44,349.76,3993.59,3687.26,1164.78,1517.81,997.04,3987.79,178.5,4017.35,4185.5,448.18,448,397.49,390.55,391.1,221.76,0,0,353330,3612.22,101945
